#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = Molten Crude Steel
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = Molten Crystalline Alloy
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = Molten Melodic Alloy
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = Molten Stellar Alloy
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = Molten Crystalline Pink Slime
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = Molten Energetic Silver
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = Molten Vivid Alloy
fierymetal                                        (twilightforest:molten_fierymetal)                                               = ÈÛÈÚ³ãÌú
knightmetal                                       (twilightforest:molten_knightmetal)                                              = ÈÛÈÚÆïÊ¿½ğÊô
obsidian                                          (tconstruct:molten_obsidian)                                                     = ÈÛÈÚºÚê×Ê¯
iron                                              (tconstruct:molten_iron)                                                         = ÈÛÈÚÌú
pigiron                                           (tconstruct:molten_pigiron)                                                      = ÈÛÈÚÉúÌú
knightslime                                       (tconstruct:molten_knightslime)                                                  = ÈÛÈÚÆïÊ¿Ê·À³Ä·
cobalt                                            (tconstruct:molten_cobalt)                                                       = ÈÛÈÚîÜ
ardite                                            (tconstruct:molten_ardite)                                                       = ÈÛÈÚ°¢µÏÌØ
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = ÈÛÈÚÂêÓñÁé
copper                                            (tconstruct:molten_copper)                                                       = ÈÛÈÚÍ­
bronze                                            (tconstruct:molten_bronze)                                                       = ÈÛÈÚÇàÍ­
lead                                              (tconstruct:molten_lead)                                                         = ÈÛÈÚÇ¦
silver                                            (tconstruct:molten_silver)                                                       = ÈÛÈÚÒø
electrum                                          (tconstruct:molten_electrum)                                                     = ÈÛÈÚçúçê½ğ
steel                                             (tconstruct:molten_steel)                                                        = ÈÛÈÚ¸Ö
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = Molten Abyssalnite
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = Molten Refined Coralium
moltendreadium                                    (acintegration:moltendreadium)                                                   = Molten Dreadium
milk                                              (cyclicmagic:milk)                                                               = Å£ÄÌ
insanium                                          (contenttweaker:insanium)                                                        = ÈÛÈÚ¾¿¼«¾«»ª
fusion_matrix                                     (contenttweaker:fusion_matrix)                                                   = ÈÛÈÚ¾ÛºÏ¾ØÕó
experience                                        ([no block])                                                                     = ÖªÊ¶¾«»ª
infernium                                         (jaopca:fluid_molteninfernium)                                                   = ÈÛÈÚÓÀÈ¼
titanium                                          (jaopca:fluid_moltentitanium)                                                    = ÈÛÈÚîÑ½ğ
cryonium                                          (jaopca:fluid_moltencryonium)                                                    = ÈÛÈÚ¼«º®
